"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical"
"
North America
","1,816,783","21,583","111,266","1,471","487,767","1,217,750","18,827"
"
Europe
","1,867,719","19,397","168,418","1,613","849,067","850,234","10,478"
"
South America
","557,540","8,916","28,440",362,"207,836","321,264","10,700"
"
Asia
","911,945","24,688","26,653",409,"531,606","353,686","4,869"
"
Africa
","105,137","3,453","3,186",71,"42,644","59,307",290
"
Oceania
","8,703",15,122,1,"8,035",546,8
"

",721,,15,,651,55,4
World,"5,268,548","78,052","338,100","3,927","2,127,606","2,802,842","45,176"
USA,"1,637,550","16,648","97,292",938,"386,081","1,154,177","17,689"
Russia,"326,448","8,894","3,249",150,"99,825","223,374","2,300"
Brazil,"314,769","3,848","20,267",185,"125,960","168,542","8,318"
Spain,"281,904","1,787","28,628",688,"196,958","56,318","1,152"
UK,"254,195","3,287","36,393",351,N/A,N/A,"1,559"
Italy,"228,658",652,"32,616",130,"136,720","59,322",595
France,"181,826",,"28,289",74,"64,209","89,328","1,701"
Germany,"179,712",691,"8,351",42,"159,000","12,361",965
Turkey,"154,500",952,"4,276",27,"116,111","34,113",800
Iran,"131,652","2,311","7,300",51,"102,276","22,076","2,659"
India,"124,792","6,566","3,726",142,"51,820","69,246",
Peru,"108,769",,"3,148",,"43,587","62,034",886
Canada,"82,413","1,089","6,245",93,"42,467","33,701",502
Saudi Arabia,"67,719","2,642",364,13,"39,003","28,352",302
Chile,"61,857","4,276",630,41,"25,342","35,885",986
Mexico,"59,567","2,973","6,510",420,"40,657","12,400",378
Belgium,"56,511",276,"9,212",26,"15,123","32,176",268
Pakistan,"50,694","2,603","1,067",50,"15,201","34,426",111
Netherlands,"44,888",188,"5,788",13,N/A,N/A,252
Qatar,"40,481","1,830",19,2,"7,893","32,569",175
Ecuador,"35,828",522,"3,056",117,"3,557","29,215",191
Belarus,"34,303",932,190,5,"12,833","21,280",92
Sweden,"32,809",637,"3,925",54,"4,971","23,913",265
Switzerland,"30,707",13,"1,903",5,"27,900",904,51
Singapore,"30,426",614,23,,"12,995","17,408",8
Bangladesh,"30,205","1,694",432,24,"6,190","23,583",1
Portugal,"30,200",288,"1,289",12,"7,590","21,321",84
UAE,"27,892",994,241,4,"13,798","13,853",1
Ireland,"24,506",115,"1,592",9,"21,060","1,854",54
Indonesia,"20,796",634,"1,326",48,"5,057","14,413",
Poland,"20,619",476,982,10,"8,731","10,906",160
Ukraine,"20,148",442,588,9,"6,585","12,975",256
South Africa,"20,125",988,397,28,"10,104","9,624",119
